id;nombre
1;Cambio de aceite de motor
2;Cambio de filtro de aire
3;Cambio de filtro de cabina
4;Lavado de motor con gasolina
5;Cambio de pastillas de freno delantero
6;Cambio de pastillas de freno trasero
7;Cambio de zapatas de freno trasero
8;Cambio de bujías
9;Limpieza de garganta y cuerpo de aceleración
10;Limpieza de frenos
11;Cambio de refrigerante
12;Revisión con escáner
13;Cambio de solución de frenos dot3
14;Cambio de solución de frenos dot4
15;Cambio de aceite de transmisión
16;Filtro de aceite de transmisión
